comparison,feature,group_a,group_b,group_a_count,group_b_count,group_a_median,group_b_median,median_difference,rank_biserial_effect,absolute_effect,mann_whitney_p_value,adjusted_significance_flag
Missed Failure vs Detected Failure,sensor_566,Missed Failure,Detected Failure,16,48,0.0877,0.1492,-0.0615,-0.30989583333333337,0.30989583333333337,0.06264263277679553,False
Missed Failure vs Detected Failure,sensor_008,Missed Failure,Detected Failure,19,64,0.123,0.1221,0.000899999999999998,0.30838815789473695,0.30838815789473695,0.04257242290847978,False
Missed Failure vs Detected Failure,sensor_253,Missed Failure,Detected Failure,19,64,2.638,3.14895,-0.5109500000000002,-0.305921052631579,0.305921052631579,0.04436430512709081,False
Missed Failure vs Detected Failure,sensor_424,Missed Failure,Detected Failure,19,64,108.0697,72.06165,36.00805,0.3042763157894737,0.3042763157894737,0.04552484972040536,False
Missed Failure vs Detected Failure,sensor_426,Missed Failure,Detected Failure,19,64,4.0341,6.3624,-2.3283000000000005,-0.30098684210526316,0.30098684210526316,0.04791803362281483,False
Missed Failure vs Detected Failure,sensor_288,Missed Failure,Detected Failure,19,64,0.1285,0.19145,-0.06295,-0.29769736842105265,0.29769736842105265,0.05041485822364177,False
Missed Failure vs Detected Failure,sensor_501,Missed Failure,Detected Failure,19,64,388.0851,0.0,388.0851,0.29769736842105265,0.29769736842105265,0.03173969905416143,False
Missed Failure vs Detected Failure,sensor_181,Missed Failure,Detected Failure,19,64,19.83,17.475,2.354999999999997,0.296875,0.296875,0.05105126207052743,False
Missed Failure vs Detected Failure,sensor_455,Missed Failure,Detected Failure,19,64,8.8089,6.8302499999999995,1.97865,0.29605263157894735,0.29605263157894735,0.05170545252122417,False
Missed Failure vs Detected Failure,sensor_153,Missed Failure,Detected Failure,19,64,0.4309,0.6470499999999999,-0.2161499999999999,-0.29276315789473684,0.29276315789473684,0.054367088548249745,False
