model,feature_set,roc_auc,pr_auc,brier_score,threshold,recall_fail,precision_fail,f1_fail,balanced_accuracy,true_negative,false_positive,false_negative,true_positive,false_alarms_per_detected_failure,operational_cost,selection_reason
Baseline Balanced Random Forest,Raw Sensors,0.74654515497889,0.19376329641553158,0.1550643738732258,0.385,0.7710843373493976,0.12549019607843137,0.21585160202360876,0.6949438780764082,724,446,19,64,6.96875,636.0,Minimum operational cost while maintaining failure recall >= 0.75
Augmented Balanced Random Forest,Augmented,0.731392235609103,0.16645447376993724,0.15723863942614114,0.38,0.7831325301204819,0.11586452762923351,0.20186335403726707,0.679600453094429,674,496,18,65,7.630769230769231,676.0,Minimum operational cost while maintaining failure recall >= 0.75
Augmented XGBoost,Augmented,0.7258572752548657,0.1656736181816751,0.061565104871988297,0.01,0.8072289156626506,0.10452418096723869,0.1850828729281768,0.65831531253218,596,574,16,67,8.567164179104477,734.0,Minimum operational cost while maintaining failure recall >= 0.75
