segment_variable,segment_value,records,actual_failures,predicted_failures,true_negative,false_positive,false_negative,true_positive,failure_recall,failure_precision,failure_f1,balanced_accuracy,mean_fail_probability,mean_data_quality,mean_anomaly_score,roc_auc,pr_auc
shift,Night,104,3,46,57,44,1,2,0.6666666666666666,0.043478260869565216,0.08163265306122448,0.6155115511551155,0.3757812499999999,0.9429512552453042,0.23930224931570696,0.5214521452145214,0.04292412617220802
shift,Morning,116,7,39,75,34,2,5,0.7142857142857143,0.1282051282051282,0.21739130434782608,0.7011795543905636,0.36361613984674324,0.9459991877808621,0.2604152634623193,0.8125819134993446,0.3082452322207065
shift,Evening,94,11,34,59,24,1,10,0.9090909090909091,0.29411764705882354,0.4444444444444444,0.8099671412924425,0.36722281323877076,0.9445412929880023,0.2536592246032654,0.8466593647316539,0.4699305236120652
