feature,importance_mean,importance_std,importance_positive
sensor_060,0.022677909801204755,0.00420920225355445,True
sensor_342,0.006938781015729316,0.0036294195490548607,True
sensor_022,0.00665585832104368,0.0024114962907145977,True
sensor_478,0.0063195379349993445,0.0052149370248894605,True
sensor_153,0.005868768338527444,0.002404012941292467,True
sensor_572,0.005461430585100911,0.0025803326938183264,True
sensor_211,0.005011923699642711,0.002194431470897193,True
sensor_001,0.004627654483889634,0.0018561938059397528,True
sensor_426,0.0046035515103929935,0.0018784604535701766,True
sensor_122,0.0044612721337138435,0.0014969527259686786,True
sensor_434,0.004429020497632159,0.0027981321340407087,True
sensor_461,0.004310489433952455,0.002394958309328923,True
sensor_020,0.004294245165466922,0.0023036255301401238,True
sensor_299,0.004139438521692023,0.0011184872620934757,True
sensor_431,0.004091683160824948,0.001635679797180749,True
sensor_125,0.003899050378900476,0.0026048235553401086,True
sensor_091,0.0038796716838814067,0.0023396429583554777,True
sensor_588,0.0038739584006199828,0.0022175646014816024,True
sensor_486,0.0038222692746015877,0.001398751804606262,True
sensor_118,0.003754808535938696,0.002041870547315776,True
sensor_286,0.003619838401049037,0.0021176552458052555,True
sensor_469,0.0035474520745350916,0.0016709339499153017,True
sensor_282,0.0033890153558840132,0.0034190662240747975,True
sensor_446,0.0033469356372001643,0.0014286169058573325,True
sensor_349,0.003338851066082625,0.002392480149611225,True
sensor_288,0.003322082795042493,0.0019601481225395056,True
sensor_436,0.0032889802081955853,0.002154578995263434,True
sensor_468,0.00327302918037327,0.0020987906681621954,True
sensor_106,0.00325843371195695,0.0016326899514826092,True
sensor_133,0.0031944562781024296,0.0015659038296935465,True
sensor_470,0.0031570448001358637,0.0034313513625741448,True
sensor_248,0.003092739022032241,0.003559427371489501,True
sensor_016,0.002971371793162203,0.001594548612423336,True
sensor_177,0.0029561128833535634,0.002614358484814509,True
sensor_023,0.0029413984199256975,0.0031567176311304125,True
sensor_589,0.0028968828708112863,0.002755996903878638,True
sensor_113,0.002835471669648204,0.00121769891143008,True
sensor_206,0.0028079112013036298,0.0036515104470627156,True
sensor_094,0.0027395246036635732,0.0013953638689915243,True
sensor_564,0.0027032189670856744,0.0035415174457719694,True
sensor_578,0.00262908838670346,0.00302719238234796,True
sensor_011,0.002599826985923591,0.0023414436444318446,True
sensor_561,0.0025731462065557336,0.0024226811566250687,True
sensor_440,0.0025617090331078313,0.00208337432770196,True
sensor_067,0.0025111162732404683,0.002438387597599016,True
sensor_176,0.0025082175082571157,0.0024125355187313608,True
sensor_541,0.0024632893852932517,0.0015834077118915663,True
sensor_228,0.0024428102178494825,0.001222345981696058,True
sensor_390,0.002422625771167586,0.001040356511258368,True
sensor_007,0.002392504416279326,0.002269827179312259,True
