segment_variable,segment_value,records,actual_failures,predicted_failures,true_negative,false_positive,false_negative,true_positive,failure_recall,failure_precision,failure_f1,balanced_accuracy,mean_fail_probability,mean_data_quality,mean_anomaly_score,roc_auc,pr_auc
anomaly_quartile,Q1 Lowest,79,3,20,58,18,1,2,0.6666666666666666,0.1,0.17391304347826086,0.7149122807017544,0.3461005625879043,0.9434963051255015,0.13954397984378097,0.8377192982456141,0.19719169719169719
anomaly_quartile,Q2,78,4,29,48,26,1,3,0.75,0.10344827586206896,0.18181818181818182,0.6993243243243243,0.37222329059829057,0.9435524653418376,0.20738711163582438,0.75,0.44784382284382285
anomaly_quartile,Q3,78,4,30,48,26,0,4,1.0,0.13333333333333333,0.23529411764705882,0.8243243243243243,0.37119017094017087,0.9440227733623234,0.2690707094417824,0.7635135135135135,0.12651283380865957
anomaly_quartile,Q4 Highest,79,10,40,37,32,2,8,0.8,0.2,0.32,0.6681159420289855,0.3854616736990154,0.9471220398117043,0.3892643943222466,0.7333333333333334,0.30390725367411164
