segment_variable,segment_value,records,actual_failures,predicted_failures,true_negative,false_positive,false_negative,true_positive,failure_recall,failure_precision,failure_f1,balanced_accuracy,mean_fail_probability,mean_data_quality,mean_anomaly_score,roc_auc,pr_auc
missingness_quartile,"(-0.001, 0.00889]",139,12,60,76,51,3,9,0.75,0.15,0.25,0.6742125984251969,0.3752078337330136,0.9522843998323774,0.2629470301366484,0.6837270341207349,0.15130419292522257
missingness_quartile,"(0.00889, 0.0178]",81,4,23,57,20,1,3,0.75,0.13043478260869565,0.2222222222222222,0.7451298701298701,0.359932098765432,0.9464283920127331,0.26044388123018986,0.8149350649350648,0.30374149659863947
missingness_quartile,"(0.0178, 0.0267]",27,0,11,16,11,0,0,0.0,0.0,0.0,0.5925925925925926,0.37294753086419746,0.9404894651764804,0.20855238079145869,,
missingness_quartile,"(0.0267, 0.164]",67,5,25,42,20,0,5,1.0,0.2,0.3333333333333333,0.8387096774193548,0.3642043946932006,0.9278846414845825,0.2337771007934421,0.9354838709677419,0.7326315789473683
