model,roc_auc,pr_auc,brier_score,threshold,recall_fail,precision_fail,f1_fail,balanced_accuracy,true_negative,false_positive,false_negative,true_positive,operational_cost
Median Imputation,0.7448151580681701,0.1942997515581054,0.15511020399805894,0.385,0.7710843373493976,0.12573673870333987,0.21621621621621623,0.6953712285037587,725.0,445.0,19.0,64.0,635.0
Iterative Imputation,0.7474153022345793,0.187204900886698,0.15492053722978433,0.38,0.7710843373493976,0.11786372007366483,0.20447284345047922,0.6808413139738441,691.0,479.0,19.0,64.0,669.0
