threshold,recall_fail,precision_fail,f1_fail,balanced_accuracy,true_negative,false_positive,false_negative,true_positive,operational_cost
0.34500000000000003,0.7951807228915663,0.09401709401709402,0.1681528662420382,0.6257954896509114,534,636,17,66,806.0
0.35000000000000003,0.7951807228915663,0.09635036496350365,0.171875,0.6330604469158686,551,619,17,66,789.0
0.355,0.7710843373493976,0.095952023988006,0.17066666666666666,0.6278498609823912,567,603,19,64,793.0
0.36,0.7590361445783133,0.09559939301972686,0.16981132075471697,0.6248172175883019,574,596,20,63,796.0
0.365,0.7590361445783133,0.0967741935483871,0.17166212534059946,0.6282360210071054,582,588,20,63,788.0
0.37,0.7590361445783133,0.09797822706065319,0.17355371900826447,0.6316548244259088,590,580,20,63,780.0
0.375,0.7590361445783133,0.09936908517350158,0.17573221757322174,0.6355009782720626,599,571,20,63,771.0
0.38,0.7590361445783133,0.10047846889952153,0.17746478873239438,0.6384924312635156,606,564,20,63,764.0
0.385,0.7590361445783133,0.10194174757281553,0.1797432239657632,0.6423385851096695,615,555,20,63,755.0
0.39,0.7469879518072289,0.10264900662251655,0.1804949053857351,0.6418700442796827,628,542,21,62,752.0
0.395,0.7349397590361446,0.10286677908937605,0.1804733727810651,0.640119452167645,638,532,22,61,752.0
0.4,0.7228915662650602,0.10256410256410256,0.17964071856287425,0.6370868087735557,645,525,23,60,755.0
0.405,0.6987951807228916,0.10139860139860139,0.17709923664122137,0.6297394707033261,656,514,25,58,764.0
0.41000000000000003,0.6987951807228916,0.10301953818827708,0.17956656346749225,0.63358562454948,665,505,25,58,755.0
0.41500000000000004,0.6987951807228916,0.10469314079422383,0.18210361067503925,0.6374317783956338,674,496,25,58,746.0
0.42,0.6987951807228916,0.10583941605839416,0.1838351822503962,0.6399958809597364,680,490,25,58,740.0
0.425,0.6987951807228916,0.10740740740740741,0.18619582664526485,0.6434146843785398,688,482,25,58,732.0
0.43,0.6867469879518072,0.10694183864915573,0.18506493506493507,0.6399546905571002,694,476,26,57,736.0
0.435,0.6867469879518072,0.10877862595419847,0.18780889621087316,0.643800844403254,703,467,26,57,727.0
