calibration_method,roc_auc,pr_auc,brier_score,log_loss,expected_calibration_error,maximum_calibration_error,mean_predicted_probability,observed_failure_rate,ranking_score
Beta,0.7460405725465966,0.19272562974965848,0.05834811956432188,0.2199457571659628,0.008338791861452236,0.1212460095247695,0.06633337738191415,0.06624102154828412,0.09699841380696649
Sigmoid,0.7457419421274843,0.19235756717610134,0.06016861632644714,0.2314696231451538,0.013514770910598868,0.14320707032500035,0.06626941233250626,0.06624102154828412,0.1094851548182961
Isotonic,0.7222376686232108,0.14962770464491387,0.059323497298259226,0.22005329214765132,0.019362227173229638,0.36816883827502506,0.06660582960151742,0.06624102154828412,0.1707279340402451
Uncalibrated,0.7465451549788898,0.19376702725010791,0.1550643738732258,0.49579968296785204,0.3101923193858549,0.3373115198175079,0.376433340934139,0.06624102154828412,0.5495845732134577
