error_type,records,mean_failure_probability,median_failure_probability,mean_data_quality,mean_missingness,mean_anomaly_score,mean_prediction_confidence
Correct,208,0.3310909455128205,0.3326944444444444,0.9442699682213914,0.020662393162393163,0.24084023079418446,0.6632194177350428
False Alarm,102,0.4463110021786491,0.43520833333333325,0.9448878823961752,0.019237472766884534,0.272693067386831,0.4463110021786491
Missed Failure,4,0.3472569444444443,0.35281944444444435,0.9507501186261333,0.008888888888888889,0.2575276811305942,0.6527430555555557
