model,roc_auc,pr_auc,brier_score,threshold,recall_fail,precision_fail,f1_fail,balanced_accuracy,true_negative,false_positive,false_negative,true_positive,alert_count,alert_rate,false_alarms_per_detected_failure,operational_cost,selection_reason,elapsed_seconds,selected_model
Balanced Random Forest,0.7511172896715065,0.19286867160468987,0.15494637302942074,0.385,0.7710843373493976,0.12673267326732673,0.21768707482993196,0.6970806302131604,729,441,19,64,505,0.4030327214684757,6.890625,631.0,Minimum operational cost among thresholds with failure recall >= 0.75,1.8707535420035128,True
XGBoost,0.7419936154875915,0.18492886672564707,0.06034715846180916,0.015,0.7951807228915663,0.11320754716981132,0.1981981981981982,0.6766501905056121,653,517,17,66,583,0.4652833200319234,7.833333333333333,687.0,Minimum operational cost among thresholds with failure recall >= 0.75,3.1777731249967474,False
Baseline Random Forest,0.7247863247863247,0.17828677659368194,0.05916700780277599,0.07,0.7590361445783133,0.105,0.18448023426061494,0.6500308928019771,633,537,20,63,600,0.4788507581803671,8.523809523809524,737.0,Minimum operational cost among thresholds with failure recall >= 0.75,2.386555249999219,False
Easy Ensemble,0.7182679435691484,0.1988761253106576,0.2346807832091645,0.485,0.7710843373493976,0.10372771474878444,0.18285714285714286,0.6492173823499126,617,553,19,64,617,0.49241819632881084,8.640625,743.0,Minimum operational cost among thresholds with failure recall >= 0.75,3.1725283750056406,False
LightGBM,0.7475543198434764,0.18905071866451525,0.06082295171735356,0.005,0.8795180722891566,0.10027472527472528,0.18002466091245375,0.6598445062300484,515,655,10,73,728,0.5810055865921788,8.972602739726028,755.0,Minimum operational cost among thresholds with failure recall >= 0.75,4.803079416000401,False
Regularized Logistic Regression,0.6603439398620121,0.12529119119003088,0.1241393280581618,0.005,0.6987951807228916,0.09618573797678276,0.16909620991253643,0.6164916074554629,625,545,25,58,603,0.48124501197126895,9.39655172413793,795.0,No threshold achieved the required recall; selected highest-recall alternative,4.759270374997868,False
