group_variable,group_value,records,actual_failures,mean_model_probability,mean_historical_failure_rate,mean_similarity,mean_failed_neighbour_count,strong_or_moderate_evidence_rate
decision,Engineering Review,134,9,0.05276959580350384,0.060680561016979814,0.39359329302317786,0.6268656716417911,0.022388059701492536
decision,High Risk,73,9,0.12598166760327564,0.08046411297904593,0.3153456565708909,0.7945205479452054,0.0547945205479452
decision,Insufficient Evidence,7,2,0.13464958539429145,0.07162676829055452,0.20066090976445322,1.0,0.0
decision,Low Risk,100,1,0.023351970554579434,0.05782302565464831,0.4245081423507729,0.63,0.03
