lower_threshold,upper_threshold,total_records,total_failures,total_passes,low_risk_records,review_records,high_risk_records,low_risk_rate,review_rate,high_risk_rate,automation_coverage,low_risk_failures,low_risk_passes,review_failures,review_passes,high_risk_failures,high_risk_passes,low_risk_npv,high_risk_precision,low_risk_failure_leakage,high_risk_failure_capture,review_failure_capture,review_plus_high_failure_capture,high_risk_false_alarm_rate,operational_cost
0.005,0.2999999999999999,1253,83,1170,0,1248,5,0.0,0.9960095770151636,0.0039904229848363925,0.0039904229848363925,0,0,82,1166,1,4,,0.2,0.0,0.012048192771084338,0.9879518072289156,1.0,0.003418803418803419,1219.0
0.005,0.3049999999999999,1253,83,1170,0,1249,4,0.0,0.9968076616121309,0.0031923383878691143,0.0031923383878691143,0,0,82,1167,1,3,,0.25,0.0,0.012048192771084338,0.9879518072289156,1.0,0.002564102564102564,1217.0
0.005,0.3099999999999999,1253,83,1170,0,1250,3,0.0,0.9976057462090981,0.0023942537909018356,0.0023942537909018356,0,0,82,1168,1,2,,0.3333333333333333,0.0,0.012048192771084338,0.9879518072289156,1.0,0.0017094017094017094,1215.0
0.005,0.3149999999999999,1253,83,1170,0,1250,3,0.0,0.9976057462090981,0.0023942537909018356,0.0023942537909018356,0,0,82,1168,1,2,,0.3333333333333333,0.0,0.012048192771084338,0.9879518072289156,1.0,0.0017094017094017094,1215.0
0.005,0.31999999999999984,1253,83,1170,0,1251,2,0.0,0.9984038308060654,0.0015961691939345571,0.0015961691939345571,0,0,82,1169,1,1,,0.5,0.0,0.012048192771084338,0.9879518072289156,1.0,0.0008547008547008547,1213.0
0.005,0.32499999999999984,1253,83,1170,0,1251,2,0.0,0.9984038308060654,0.0015961691939345571,0.0015961691939345571,0,0,82,1169,1,1,,0.5,0.0,0.012048192771084338,0.9879518072289156,1.0,0.0008547008547008547,1213.0
0.005,0.32999999999999985,1253,83,1170,0,1252,1,0.0,0.9992019154030327,0.0007980845969672786,0.0007980845969672786,0,0,82,1170,1,0,,1.0,0.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1211.0
0.005,0.33499999999999985,1253,83,1170,0,1252,1,0.0,0.9992019154030327,0.0007980845969672786,0.0007980845969672786,0,0,82,1170,1,0,,1.0,0.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1211.0
0.005,0.33999999999999986,1253,83,1170,0,1252,1,0.0,0.9992019154030327,0.0007980845969672786,0.0007980845969672786,0,0,82,1170,1,0,,1.0,0.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1211.0
0.005,0.34499999999999986,1253,83,1170,0,1252,1,0.0,0.9992019154030327,0.0007980845969672786,0.0007980845969672786,0,0,82,1170,1,0,,1.0,0.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1211.0
0.005,0.34999999999999987,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.35499999999999987,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.3599999999999999,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.3649999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.36999999999999983,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.37499999999999983,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.37999999999999984,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.38499999999999984,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.38999999999999985,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.39499999999999985,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.3999999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.4049999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.4099999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.4149999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.4199999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.4249999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.4299999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.43499999999999983,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.43999999999999984,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.4449999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
0.005,0.4499999999999998,1253,83,1170,0,1253,0,0.0,1.0,0.0,0.0,0,0,83,1170,0,0,,0.0,0.0,0.0,1.0,1.0,0.0,1211.5
