decision,records,record_rate,actual_failures,actual_passes,observed_failure_rate,mean_failure_probability,mean_prediction_confidence,mean_combined_uncertainty,mean_ood_percentile
Low Risk,100,0.3184713375796178,1,99,0.01,0.02335197055457948,0.41505514775049074,0.5849448522495093,0.5010853950518755
Engineering Review,134,0.4267515923566879,9,125,0.06716417910447761,0.05276959580350388,0.34903298613520556,0.6509670138647945,0.4934842944098343
High Risk,73,0.23248407643312102,9,64,0.1232876712328767,0.1259816676032757,0.26294820220239434,0.7370517977976057,0.5653172112956302
Insufficient Evidence,7,0.022292993630573247,2,5,0.2857142857142857,0.13464958539429148,0.18202859115961395,0.8179714088403861,0.9811880059286284
