calibration_method,roc_auc,pr_auc,brier_score,log_loss,expected_calibration_error,mean_predicted_probability,observed_failure_rate
Isotonic,0.7694418700442797,0.1945312075174734,0.05662985584481989,0.208574649067607,1.0704614458302212e-17,0.06624102154828412,0.06624102154828412
Sigmoid,0.7465554525795489,0.19376702725010791,0.05990952992547319,0.2297872838255987,0.017351304774094356,0.06624343246811501,0.06624102154828412
Uncalibrated,0.7465503037792194,0.19376702725010791,0.1550643738732258,0.49579968296785215,0.3101923193858549,0.376433340934139,0.06624102154828412
