model,cv_folds,elapsed_seconds,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std,cv_recall_fail_mean,cv_recall_fail_std,cv_precision_fail_mean,cv_precision_fail_std,cv_f1_fail_mean,cv_f1_fail_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_brier_score_mean,cv_brier_score_std
XGBoost,15,8.389663375004602,0.7309074912016088,0.046408472908036985,0.21899822381621717,0.05999717835786342,0.05612745098039216,0.03600761073685808,0.5166666666666667,0.3961621441334904,0.0987524366471735,0.0626701776894423,0.5254996229260934,0.01876933832251448,0.06036346231897672,0.0035143439669604493
Balanced Random Forest,15,2.7487485829988145,0.7371213549522372,0.05130786479846687,0.21576620543042438,0.057473046065686755,0.22156862745098038,0.07003882094439909,0.2151539129944702,0.07180408940832102,0.21564798105060673,0.0659818092325327,0.5810122339534104,0.0363054022875414,0.15529255668304967,0.0026391384016043965
Easy Ensemble,15,7.937905915998272,0.7377775682922744,0.053259796163532346,0.21365840312505327,0.05762710348151761,0.6710784313725491,0.1363049862138782,0.12311618500762823,0.01861131891480243,0.2077533783235302,0.03206202019978796,0.6665933467404055,0.06036546037409799,0.23402540838382038,0.002811657276358821
LightGBM,15,14.845864208000421,0.7235597871627283,0.06310489752709432,0.207605992542569,0.05741399471597971,0.01568627450980392,0.034918637629686104,0.13333333333333333,0.29680841985233175,0.027123363965469226,0.058962480484620924,0.5061337355455002,0.0171278621474686,0.061727133614563744,0.003566107599984195
Regularized Logistic Regression,15,8.708810707998055,0.635104533266298,0.05782054132897471,0.1444723128688867,0.04853247825865809,0.26372549019607844,0.12484903967272046,0.12914310105912954,0.051930900965047266,0.1723541099379566,0.07253792470730194,0.5696120328473271,0.06109537140029843,0.1335960732041369,0.018301014726636183
