model,roc_auc,pr_auc,brier_score,threshold,recall_fail,precision_fail,f1_fail,balanced_accuracy,true_negative,false_positive,false_negative,true_positive,false_alarms_per_detected_failure,operational_cost,elapsed_seconds,selection_reason
Native HistGradientBoosting,0.7324374420759963,0.1817296137132503,0.06227982654556307,0.005,0.6987951807228916,0.11507936507936507,0.19761499148211242,0.6587992997631552,724,446,25,58,7.689655172413793,696.0,4.625230957994063,No threshold achieved minimum recall
XGBoost with Missingness Mask,0.7359283286994129,0.18205240760665148,0.06113467365503311,0.015,0.7710843373493976,0.11228070175438597,0.19601837672281777,0.6693028524353826,664,506,19,64,7.90625,696.0,4.260545417004323,Minimum operational cost while maintaining failure recall >= 0.75
Native XGBoost,0.7289465554525796,0.16352349597247126,0.061807047575712204,0.01,0.8674698795180723,0.1037463976945245,0.18532818532818532,0.6679229739470703,548,622,11,72,8.63888888888889,732.0,5.727504791000683,Minimum operational cost while maintaining failure recall >= 0.75
Native CatBoost,0.7265678097003399,0.1658809979149601,0.06187720415033303,0.005,0.927710843373494,0.09759188846641319,0.17660550458715596,0.6595819174132427,458,712,6,77,9.246753246753247,772.0,12.6560927909959,Minimum operational cost while maintaining failure recall >= 0.75
Logistic with Missingness Mask,0.6606322726804654,0.12569431373635323,0.1242192629555769,0.005,0.6987951807228916,0.09586776859504133,0.1686046511627907,0.6156369066007621,623,547,25,58,9.431034482758621,797.0,4.965124166999885,No threshold achieved minimum recall
