model,default_threshold,optimized_threshold,optimized_threshold_precision,optimized_threshold_recall,optimized_threshold_f1,validation_default_roc_auc,validation_default_pr_auc,validation_default_recall_fail,validation_default_precision_fail,validation_default_f1_fail,validation_default_balanced_accuracy,validation_default_predicted_failures,validation_roc_auc,validation_pr_auc,validation_recall_fail,validation_precision_fail,validation_f1_fail,validation_balanced_accuracy,validation_predicted_failures,validation_true_negative,validation_false_positive,validation_false_negative,validation_true_positive
Random Forest,0.5,0.08734961490509303,0.14772727272727273,0.7647058823529411,0.24761904761904763,0.7164404223227753,0.17909125225021622,0.0,0.0,0.0,0.5,0,0.7164404223227753,0.17909125225021622,0.7647058823529411,0.14772727272727273,0.24761904761904763,0.7220965309200603,88,159,75,4,13
Extra Trees,0.5,0.12392741023706941,0.14705882352941177,0.5882352941176471,0.23529411764705882,0.6965811965811965,0.17322447877189912,0.0,0.0,0.0,0.5,0,0.6965811965811965,0.17322447877189912,0.5882352941176471,0.14705882352941177,0.23529411764705882,0.6701860231271997,68,176,58,7,10
Logistic Regression,0.5,0.024362324006880903,0.13157894736842105,0.5882352941176471,0.2150537634408602,0.6271995977878331,0.12970359458010633,0.17647058823529413,0.09090909090909091,0.12,0.524132730015083,33,0.6271995977878331,0.12970359458010633,0.5882352941176471,0.13157894736842105,0.21505376344086022,0.6530920060331825,76,168,66,7,10
